year,quarter,year-quarter,gdp,cpi,unemployment_rate,gdp_growth,cpi_growth,unemployment_change,gdp_yoy,cpi_yoy,unemployment_yoy_change,gdp_rolling_mean_4q,cpi_rolling_mean_4q,unemployment_rolling_mean_4q,gdp_volatility_4q,cpi_volatility_4q,unemployment_volatility_4q,gdp_growth_lag1,gdp_growth_lag2,cpi_growth_lag1,unemployment_change_lag1,covid_flag,recession_flag,high_growth_flag
1989,3,1989Q3,5695.365,124.60000000000001,5.233333333333333,0.014771055060853078,0.007818819088703188,0.0,0.07808875348179534,0.04705882352941182,-0.2333333333333325,0.018979001286239805,0.011567015016990145,5.25,0.0031979367921902957,0.0034467577392507105,0.08766518798921821,0.018364244936677654,0.020695215064925332,0.016164383561643625,0.033333333333333215,False,False,False
1989,4,1989Q4,5747.237,125.86666666666667,5.366666666666667,0.009107756921637122,0.01016586409844833,0.13333333333333375,0.06439992969731145,0.04627320587420347,0.0333333333333341,0.015734567996023296,0.011377388604627447,5.258333333333334,0.0050453345560118905,0.0035141056230017387,0.11013459778666038,0.014771055060853078,0.018364244936677654,0.007818819088703188,0.0,False,False,False
1990,1,1990Q1,5872.701,128.03333333333333,5.3,0.021830316028380148,0.017213983050847315,-0.06666666666666732,0.06558363406651813,0.05232876712328771,0.09999999999999964,0.016018343236887,0.012840762449910614,5.283333333333333,0.005434280496034109,0.004566052709311973,0.08333333333333279,0.009107756921637122,0.014771055060853078,0.01016586409844833,0.13333333333333375,False,False,True
1990,2,1990Q2,5960.028,129.29999999999998,5.333333333333333,0.014869989124254746,0.009893256964332187,0.033333333333333215,0.06192735702667451,0.04583445672688047,0.09999999999999964,0.015144779283781273,0.011272980800582755,5.308333333333334,0.005207597654420769,0.004096994269214381,0.08333333333333279,0.021830316028380148,0.009107756921637122,0.017213983050847315,-0.06666666666666732,False,False,False
1990,3,1990Q3,6015.116,131.53333333333333,5.7,0.009242909597068971,0.017272492910544113,0.36666666666666714,0.05614231923678292,0.055644729802033055,0.4666666666666668,0.013762742917835247,0.013636399256042986,5.425,0.006011364734898036,0.004166373777809049,0.18559214542766742,0.014869989124254746,0.021830316028380148,0.009893256964332187,0.033333333333333215,False,False,False
1990,4,1990Q4,6004.733,133.76666666666665,6.133333333333333,-0.0017261512496183906,0.01697921946274694,0.4333333333333327,0.04480344207138143,0.06276483050847448,0.7666666666666657,0.011054265875021368,0.015339738097117639,5.616666666666666,0.009954949761599446,0.003633198370281025,0.2455153310442704,0.009242909597068971,0.014869989124254746,0.017272492910544113,0.36666666666666714,False,True,False
1991,1,1991Q1,6035.178,134.76666666666668,6.6000000000000005,0.005070167149813232,0.007475703962123381,0.4666666666666677,0.02766648600022381,0.05259047123145022,1.3000000000000007,0.0068642286553796394,0.012905168324936656,5.941666666666666,0.006994369337910519,0.004974002748315229,0.19883922409081403,-0.0017261512496183906,0.009242909597068971,0.01697921946274694,0.4333333333333327,False,False,False
1991,2,1991Q2,6126.862,135.56666666666666,6.833333333333333,0.015191598325683175,0.005936186000494503,0.2333333333333325,0.027992150372447844,0.0484660995101831,1.5,0.006944630955736747,0.011915900583977235,6.316666666666666,0.007117832866038781,0.006049865341801127,0.10318986456114812,0.005070167149813232,-0.0017261512496183906,0.007475703962123381,0.4666666666666677,False,False,False
1991,3,1991Q3,6205.937,136.6,6.866666666666667,0.012906280572338558,0.00762232603884927,0.0333333333333341,0.03172357773316414,0.03852002027369483,1.166666666666667,0.007860473699554144,0.009503358866053524,6.608333333333333,0.00772214874757232,0.0050419203623363554,0.20069324297987107,0.015191598325683175,0.005070167149813232,0.005936186000494503,0.2333333333333325,False,False,False
1991,4,1991Q4,6264.54,137.73333333333332,7.1000000000000005,0.009443054288176045,0.00829673011224985,0.2333333333333334,0.043267036186288355,0.029653625716421717,0.9666666666666677,0.010652775084002752,0.007332736528429251,6.8500000000000005,0.004408633165200197,0.0009973195372872542,0.1771690968789105,0.012906280572338558,0.015191598325683175,0.00762232603884927,0.0333333333333341,False,False,False
1992,1,1992Q1,6363.102,138.66666666666666,7.366666666666667,0.01573331800898381,0.006776379477250849,0.2666666666666666,0.05433543136590169,0.02893890675241151,0.7666666666666666,0.013318562798795397,0.007157905407211118,7.041666666666667,0.002859419968003479,0.0010248200778474681,0.10671873729054622,0.009443054288176045,0.012906280572338558,0.00829673011224985,0.2333333333333334,False,False,False
1992,2,1992Q2,6470.763,139.73333333333332,7.6000000000000005,0.016919577903984573,0.007692307692307665,0.2333333333333334,0.05613003850910947,0.030735185640521134,0.7666666666666675,0.013750557693370746,0.0075969358301644085,7.233333333333334,0.0033287343444273836,0.0006252373470216743,0.10671873729054633,0.01573331800898381,0.009443054288176045,0.006776379477250849,0.2666666666666666,False,False,False
